iter	MultiClass
0	0.6188926082
1	0.5582229418
2	0.5078066606
3	0.4654934183
4	0.4297546411
5	0.3992374284
6	0.37330222
7	0.351248246
8	0.3318750429
9	0.3151848874
10	0.3011909329
11	0.2882395913
12	0.2746779312
13	0.2628187004
14	0.2520645615
15	0.2419357866
16	0.2328959942
17	0.2252291741
18	0.2184554802
19	0.212340804
20	0.2065698966
21	0.2013839488
22	0.1969570734
23	0.19290391
24	0.1895927114
25	0.1866035166
26	0.1839996285
27	0.1815052486
28	0.1792954541
29	0.17743339
30	0.1753206377
31	0.1735872035
32	0.1717990917
33	0.1703748548
34	0.1693767407
35	0.167938514
36	0.1666158046
37	0.1656187614
38	0.1644923588
39	0.1639641654
40	0.1630679097
41	0.1621830985
42	0.1617780903
43	0.1612744335
44	0.1608795477
45	0.1605071672
46	0.1598856622
47	0.1596125425
48	0.159094917
49	0.1584195476
50	0.1578992854
51	0.1576127908
52	0.1571775553
53	0.1570474529
54	0.1568712168
55	0.1563764167
56	0.1562850393
57	0.156097349
58	0.1559457236
59	0.1559015394
60	0.1557438382
61	0.155323551
62	0.1552092941
63	0.1550665125
64	0.1549809846
65	0.1548228895
66	0.1546558324
67	0.1545557496
68	0.1544496825
69	0.1543567745
70	0.1542550372
71	0.1540820498
72	0.1539634724
73	0.1538929907
74	0.1537749064
75	0.153742474
76	0.1536277527
77	0.1535771498
78	0.1535415144
79	0.1534895087
80	0.1534282556
81	0.1533335698
82	0.1531665615
83	0.1530408515
84	0.1529170142
85	0.1528547922
86	0.1527383041
87	0.1526694219
88	0.1526108496
89	0.15251848
90	0.152398668
91	0.1522695287
92	0.1521782316
93	0.1521222419
94	0.1520203286
95	0.1519911676
96	0.1518154885
97	0.151625272
98	0.1514344737
99	0.1513843843
100	0.1513167992
101	0.1512574137
102	0.1511803642
103	0.1511369862
104	0.1509786337
105	0.150946717
106	0.1509194642
107	0.1508164702
108	0.1507090899
109	0.1506767392
110	0.1506131493
111	0.1504968352
112	0.1504420581
113	0.1502797287
114	0.1502518069
115	0.1502139344
116	0.150161245
117	0.1500469916
118	0.1499724359
119	0.1498357724
120	0.1496577073
121	0.1495601966
122	0.1494727825
123	0.14939078
124	0.1493447719
125	0.149254246
126	0.1491799697
127	0.1491321655
128	0.1490236966
129	0.1489271404
130	0.1488989214
131	0.1488703758
132	0.1487864242
133	0.1487375491
134	0.1487183943
135	0.1486095725
136	0.1485879686
137	0.1485180794
138	0.1484349648
139	0.1483944442
140	0.1483738521
141	0.1482643701
142	0.1482125154
143	0.1481387838
144	0.1480683456
145	0.1479824717
146	0.1479576932
147	0.1479297018
148	0.1478293107
149	0.1477885989
150	0.1477553851
151	0.147692259
152	0.1476243574
153	0.1475696567
154	0.1475211436
155	0.1474927747
156	0.1473837788
157	0.147336005
158	0.1471946243
159	0.1471538581
160	0.1470732313
161	0.1469957103
162	0.146965443
163	0.1469374677
164	0.1468533657
165	0.1467314847
166	0.146699396
167	0.1466238557
168	0.1465531806
169	0.1465238401
170	0.1465075207
171	0.1464499579
172	0.146393527
173	0.1463326268
174	0.146255543
175	0.1462460701
176	0.1462162058
177	0.1461882502
178	0.1461469675
179	0.1460797416
180	0.1460545735
181	0.1460279038
182	0.1459785972
183	0.1458907838
184	0.145840666
185	0.1458137856
186	0.1457447783
187	0.1457337206
188	0.1456886509
189	0.1456718784
190	0.1456391353
191	0.1455078302
192	0.145472914
193	0.1454458423
194	0.1453973916
195	0.1453689854
196	0.1453132727
197	0.1452822521
198	0.1452330399
199	0.1451817412
200	0.1451181452
201	0.1450526926
202	0.1450356859
203	0.145021629
204	0.1449712216
205	0.1448756836
206	0.1448718261
207	0.1448170758
208	0.1447769821
209	0.1446249205
210	0.144594246
211	0.1445471097
212	0.1444742814
213	0.1443799036
214	0.144297001
215	0.1442142232
216	0.144194254
217	0.1441462322
218	0.1441058164
219	0.1440688928
220	0.1440237223
221	0.1439957826
222	0.1439670912
223	0.1439151485
224	0.1438828965
225	0.1438132664
226	0.1437722682
227	0.1436345032
228	0.1436139674
229	0.1436006007
230	0.1435708163
231	0.1435249546
232	0.143480515
233	0.1434161666
234	0.1434024981
235	0.1433584197
236	0.1432523801
237	0.143234626
238	0.1431957533
239	0.1431503692
240	0.1430952607
241	0.1430472216
242	0.1430225731
243	0.14298375
244	0.1427508205
245	0.1427082468
246	0.1426838103
247	0.1426653607
248	0.1426272776
249	0.1425830035
250	0.1425521108
251	0.1424893916
252	0.1424536145
253	0.1424202287
254	0.1423880861
255	0.1423519694
256	0.142316482
257	0.1422985523
258	0.1420864605
259	0.142050558
260	0.1419853051
261	0.1418834434
262	0.141632314
263	0.1415883143
264	0.1414331701
265	0.1413643664
266	0.1413443158
267	0.1411987422
268	0.1410382155
269	0.1409582701
270	0.1408565783
271	0.1408128605
272	0.1407889492
273	0.1407702733
274	0.140671009
275	0.1406449858
276	0.1406284289
277	0.1405898683
278	0.1405043097
279	0.1404682231
280	0.1404599265
281	0.1404082166
282	0.1403855763
283	0.1403568101
284	0.1402704508
285	0.140254507
286	0.1401811441
287	0.1401011135
288	0.1400196221
289	0.1399350837
290	0.1398897575
291	0.139865155
292	0.1398337353
293	0.1397457811
294	0.1397056626
295	0.1396765205
296	0.1396517137
297	0.139594326
298	0.1395656153
299	0.1394922103
