iter	Passed	Remaining
0	25	7675
1	88	13125
2	175	17404
3	247	18281
4	324	19172
5	397	19483
6	451	18882
7	463	16915
8	533	17254
9	584	16947
10	623	16390
11	695	16691
12	781	17254
13	869	17756
14	993	18868
15	1093	19413
16	1198	19947
17	1275	19980
18	1353	20018
19	1432	20052
20	1513	20109
21	1584	20027
22	1662	20018
23	1767	20328
24	1828	20111
25	1903	20059
26	1987	20094
27	2072	20132
28	2146	20061
29	2229	20063
30	2342	20330
31	2441	20448
32	2536	20521
33	2604	20377
34	2714	20553
35	2817	20665
36	2891	20554
37	2999	20679
38	3084	20645
39	3171	20611
40	3259	20588
41	3349	20574
42	3479	20798
43	3622	21078
44	3686	20892
45	3816	21075
46	3918	21090
47	3999	20997
48	4072	20861
49	4176	20880
50	4309	21041
51	4421	21089
52	4509	21017
53	4579	20861
54	4682	20858
55	4799	20910
56	4897	20880
57	4974	20756
58	5060	20670
59	5173	20693
60	5255	20591
61	5356	20560
62	5415	20371
63	5494	20260
64	5588	20205
65	5669	20099
66	5749	19994
67	5840	19926
68	5929	19849
69	6003	19726
70	6110	19708
71	6191	19607
72	6265	19481
73	6353	19403
74	6472	19418
75	6586	19411
76	6690	19376
77	6786	19316
78	6879	19246
79	6944	19097
80	7061	19092
81	7186	19105
82	7291	19064
83	7378	18972
84	7487	18939
85	7564	18823
86	7709	18874
87	7797	18783
88	7895	18719
89	8017	18706
90	8109	18624
91	8219	18582
92	8327	18536
93	8397	18403
94	8501	18346
95	8589	18252
96	8687	18180
97	8811	18161
98	8938	18147
99	9036	18073
100	9144	18016
101	9245	17946
102	9350	17883
103	9444	17799
104	9538	17714
105	9661	17682
106	9742	17572
107	9828	17472
108	9967	17465
109	10069	17392
110	10150	17282
111	10268	17236
112	10347	17123
113	10443	17039
114	10525	16932
115	10642	16881
116	10778	16859
117	10891	16798
118	10995	16724
119	11072	16608
120	11162	16513
121	11252	16418
122	11342	16322
123	11445	16244
124	11539	16155
125	11620	16047
126	11710	15952
127	11785	15836
128	11876	15742
129	11957	15637
130	12051	15547
131	12158	15473
132	12285	15425
133	12404	15367
134	12568	15362
135	12688	15301
136	12804	15235
137	12931	15180
138	13068	15136
139	13164	15045
140	13305	15004
141	13397	14907
142	13490	14811
143	13613	14747
144	13724	14670
145	13829	14586
146	13914	14482
147	14036	14416
148	14139	14328
149	14237	14237
150	14340	14150
151	14450	14069
152	14573	14002
153	14653	13892
154	14798	13844
155	14917	13769
156	15018	13679
157	15160	13625
158	15315	13581
159	15408	13482
160	15490	13374
161	15592	13282
162	15729	13220
163	15808	13109
164	15887	12999
165	15987	12905
166	16065	12794
167	16153	12691
168	16239	12588
169	16348	12502
170	16444	12405
171	16568	12329
172	16645	12219
173	16737	12120
174	16830	12022
175	16959	11948
176	17117	11895
177	17231	11810
178	17316	11705
179	17417	11611
180	17547	11537
181	17687	11467
182	17779	11367
183	17882	11273
184	17976	11174
185	18113	11101
186	18204	11000
187	18332	10921
188	18445	10833
189	18543	10735
190	18668	10653
191	18794	10571
192	18901	10479
193	19008	10386
194	19116	10293
195	19213	10195
196	19340	10112
197	19440	10014
198	19560	9927
199	19657	9828
200	19775	9740
201	19872	9641
202	19957	9536
203	20057	9438
204	20144	9335
205	20242	9236
206	20292	9116
207	20379	9014
208	20477	8916
209	20622	8838
210	20732	8744
211	20837	8649
212	20934	8550
213	21041	8456
214	21145	8359
215	21246	8262
216	21353	8167
217	21446	8067
218	21522	7960
219	21608	7857
220	21705	7759
221	21797	7658
222	21910	7565
223	22016	7469
224	22131	7377
225	22225	7277
226	22312	7175
227	22403	7074
228	22490	6973
229	22583	6873
230	22664	6770
231	22750	6668
232	22851	6571
233	22931	6467
234	23037	6372
235	23116	6268
236	23226	6174
237	23310	6072
238	23415	5976
239	23496	5874
240	23590	5775
241	23676	5674
242	23786	5579
243	23883	5481
244	23969	5380
245	24066	5282
246	24153	5182
247	24224	5079
248	24336	4984
249	24419	4883
250	24524	4787
251	24614	4688
252	24719	4592
253	24820	4495
254	24890	4392
255	24984	4294
256	25106	4200
257	25202	4102
258	25299	4004
259	25376	3904
260	25486	3808
261	25563	3707
262	25642	3607
263	25756	3512
264	25885	3418
265	25971	3319
266	26054	3220
267	26143	3121
268	26235	3023
269	26330	2925
270	26436	2828
271	26556	2733
272	26668	2637
273	26769	2540
274	26849	2440
275	26934	2342
276	27021	2243
277	27126	2146
278	27233	2049
279	27311	1950
280	27382	1851
281	27528	1757
282	27645	1660
283	27762	1564
284	27852	1465
285	27961	1368
286	28065	1271
287	28165	1173
288	28267	1075
289	28413	979
290	28503	881
291	28598	783
292	28739	686
293	28822	588
294	28903	489
295	28996	391
296	29087	293
297	29206	196
298	29343	98
299	29437	0
